Geração,mutacao1,mutacao5,roleta,torneio,elitismo,somente_filhos,uniforme,dois_pontos
570,900,900,900,898,900,900,900,900
571,900,900,900,898,900,900,900,900
572,900,900,900,898,900,900,900,900
573,900,900,900,898,900,900,900,900
574,900,900,900,898,900,900,900,900
575,900,900,900,898,900,900,900,900
576,900,900,895,898,900,900,900,900
577,900,900,898,898,900,900,900,900
578,900,900,895,898,900,900,900,900
579,900,900,895,898,900,900,900,900
580,900,900,900,898,900,900,900,900
581,900,900,900,898,900,900,900,900
582,900,900,895,898,900,900,900,900
583,900,900,895,898,900,900,900,900
584,900,900,900,898,900,900,900,900
585,900,900,900,898,900,900,900,900
586,900,900,900,898,900,900,900,900
587,900,900,900,898,900,900,900,900
588,900,900,900,898,900,900,900,900
589,900,900,895,898,900,900,900,900
590,900,900,895,898,900,900,900,900
591,900,900,895,898,900,900,900,900
592,900,900,900,898,900,900,900,900
593,900,900,900,898,900,900,900,900
594,900,900,900,898,900,900,900,900
595,900,900,900,898,900,900,900,900
596,900,900,900,898,900,900,900,900
597,900,900,900,898,900,900,900,900
598,900,900,900,898,900,900,900,900
599,900,900,895,898,900,900,900,900
600,900,900,900,898,900,900,900,900
601,900,900,900,898,900,900,900,900
602,900,900,895,898,900,900,900,900
603,900,900,895,898,900,900,900,900
604,900,900,895,898,900,900,900,900
605,900,900,900,898,900,900,900,900
606,900,900,895,898,900,900,900,900
607,900,900,895,898,900,900,900,900
608,900,900,895,898,900,900,900,900
609,900,900,900,898,900,900,900,900
610,900,900,895,898,900,900,900,900
611,900,900,895,898,900,900,900,900
612,900,900,900,898,900,900,900,900
613,900,900,895,898,900,900,900,900
614,900,900,895,898,900,900,900,900
615,900,900,900,898,900,900,900,900
616,900,900,900,898,900,900,900,900
617,900,900,900,898,900,900,900,900
618,900,900,900,898,900,900,900,900
619,900,900,900,898,900,900,900,900
620,900,900,900,898,900,900,900,900
621,900,900,900,898,900,900,900,900
622,900,900,900,898,900,900,900,900
623,900,900,900,898,900,900,900,900
624,900,900,900,898,900,900,900,900
625,900,900,900,898,900,900,900,900
